TEST CASES					
case	Name	Email	Note	pairings	
1	delka>=3	platny email	prazdny komentar	3	
2	delka < 3	platny email	neprazdny komentar	3	
3	delka>=3	neplatny email	neprazdny komentar	3	
4	delka < 3	neplatny email	prazdny komentar	3	
5	delka>=3	spatny format	prazdny komentar	2	
6	delka < 3	spatny format	neprazdny komentar	2	
					
PAIRING DETAILS					
var1	var2	value1	value2	appearances	cases
Email	Name	platny email	delka>=3	1	1
Email	Name	platny email	delka < 3	1	2
Email	Name	neplatny email	delka>=3	1	3
Email	Name	neplatny email	delka < 3	1	4
Email	Name	spatny format	delka>=3	1	5
Email	Name	spatny format	delka < 3	1	6
Email	Note	platny email	prazdny komentar	1	1
Email	Note	platny email	neprazdny komentar	1	2
Email	Note	neplatny email	prazdny komentar	1	4
Email	Note	neplatny email	neprazdny komentar	1	3
Email	Note	spatny format	prazdny komentar	1	5
Email	Note	spatny format	neprazdny komentar	1	6
Name	Note	delka>=3	prazdny komentar	2	1, 5
Name	Note	delka>=3	neprazdny komentar	1	3
Name	Note	delka < 3	prazdny komentar	1	4
Name	Note	delka < 3	neprazdny komentar	2	2, 6
