TEST CASES					
case	Username	Password	pairings		
1	Username je v DB	Heslo odpovida	1		
2	Username je v DB	Heslo neodpovida	1		
3	Username neni v DB	Heslo odpovida	1		
4	Username neni v DB	Heslo neodpovida	1		
					
PAIRING DETAILS					
var1	var2	value1	value2	appearances	cases
Username	Password	Username je v DB	Heslo odpovida	1	1
Username	Password	Username je v DB	Heslo neodpovida	1	2
Username	Password	Username neni v DB	Heslo odpovida	1	3
Username	Password	Username neni v DB	Heslo neodpovida	1	4
